id,RollNo,Name,email,phone,DOB,Gender
NULL,2021EE02,Rohit,rohit_2021EE02@iitp.ac.in,9876543211,2002-06-01,Male
NULL,2019CS07,Shivani,shivani_2019CS07@iitp.ac.in,9876543212,1999-10-03,Female
NULL,2020AI05,Ankit,ankit_2020AI05@iitp.ac.in,9876543213,2000-04-12,Male
NULL,2022MC01,Swati,swati_2022MC01@iitp.ac.in,9876543214,2003-09-21,Female
NULL,2021EE06,Vishal,vishal_2021EE06@iitp.ac.in,9876543215,2002-11-11,Others
NULL,2021EE01,Vikas,vikas_2021EE01@iitp.ac.in,9963487951,2002-06-11,Male
NULL,2020MC01,Kavya,kavya_2020MC01@iitp.ac.in,9826143750,2000-11-23,Female
NULL,2019AI05,Alok,alok_2019AI05@iitp.ac.in,9774857382,1999-09-18,Male
NULL,2022CS02,Jhanvi,jhanvi_2022CS02@iitp.ac.in,9652147389,2003-02-05,Female
NULL,2021AI04,Ravi,ravi_2021AI04@iitp.ac.in,9876543211,2002-01-29,Male
NULL,2019CS03,Neha Singh,neha_singh_2019CS03@iitp.ac.in,9774759271,1999-03-21,Female
NULL,2020AI01,Nishant,nishant_2020AI01@iitp.ac.in,9826758381,2000-07-12,Male
NULL,2021MC05,Pradeep,pradeep_2021MC05@iitp.ac.in,9856231470,2002-02-08,Male
NULL,2019EE10,Priya,priya_2019EE10@iitp.ac.in,9632587412,1999-05-15,Female
NULL,2020CS02,Rahul,rahul_2020CS02@iitp.ac.in,9876543210,2000-08-02,Male
